file,token,ident,hw_index,sw_lo,sw_hi,f0_lo,f0_hi,events,entities,bytes,status,ext_raw
gwg_vbt2_03.yaml,GWG_VBT2_03,0x2053,16,3,3,,,192,175,72287,ok,1003
gwg_vbt2_21.yaml,GWG_VBT2_21,0x2053,16,33,33,,,192,175,72287,ok,1021
gwg_vbt2_35.yaml,GWG_VBT2_35,0x2053,16,53,53,,,192,175,72287,ok,1035
gwg_vbt2_36.yaml,GWG_VBT2_36,0x2053,16,54,54,,,193,176,72624,ok,1036
gwg_vwms_00.yaml,GWG_VWMS_00,0x2053,8,0,0,,,191,174,72562,ok,0800
gwg_vwms_03.yaml,GWG_VWMS_03,0x2053,8,3,3,,,191,174,72562,ok,0803
gwg_vwms_21.yaml,GWG_VWMS_21,0x2053,8,33,33,,,191,174,72562,ok,0821
gwg_vwms_35.yaml,GWG_VWMS_35,0x2053,8,53,53,,,191,174,72562,ok,0835
gwg_vwms_36.yaml,GWG_VWMS_36,0x2053,8,54,54,,,192,175,72899,ok,0836
,HV_GWG,0x2000,,,,,,38,1,,skipped: no Optolink-reachable datapoints,015300
,HV_V050HK1M,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,04b400
,HV_V050HK1M_5,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,05b400
,HV_V050HK1M_6,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,06b400
,HV_V050HK1M_7,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,07b400
,HV_V050HK1M_8,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,08b400
,HV_V050HK1M_9,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,09b400
,HV_V050HK1M_A,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,0ab400
,HV_V050HK1M_B,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,0bb400
,HV_V050HK1S,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,04ac00
,HV_V050HK1S_5,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,05ac00
,HV_V050HK1S_6,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,06ac00
,HV_V050HK1S_7,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,07ac00
,HV_V050HK1S_8,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,08ac00
,HV_V050HK1S_9,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,09ac00
,HV_V050HK1S_A,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,0aac00
,HV_V050HK1S_B,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,0bac00
,HV_V050HK1W,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,04aa00
,HV_V050HK1W_5,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,05aa00
,HV_V050HK1W_6,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,06aa00
,HV_V050HK1W_7,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,07aa00
,HV_V050HK1W_8,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,08aa00
,HV_V050HK1W_9,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,09aa00
,HV_V050HK1W_A,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,0aaa00
,HV_V050HK1W_B,0x2000,,,,,,19,1,,skipped: no Optolink-reachable datapoints,0baa00
,HV_V050HK3S,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,04ad00
,HV_V050HK3S_5,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,05ad00
,HV_V050HK3S_6,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,06ad00
,HV_V050HK3S_7,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,07ad00
,HV_V050HK3S_8,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,08ad00
,HV_V050HK3S_9,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,09ad00
,HV_V050HK3S_A,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,0aad00
,HV_V050HK3S_B,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,0bad00
,HV_V050HK3W,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,04ab00
,HV_V050HK3W_5,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,05ab00
,HV_V050HK3W_6,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,06ab00
,HV_V050HK3W_7,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,07ab00
,HV_V050HK3W_8,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,08ab00
,HV_V050HK3W_9,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,09ab00
,HV_V050HK3W_A,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,0aab00
,HV_V050HK3W_B,0x2000,,,,,,39,1,,skipped: no Optolink-reachable datapoints,0bab00
,HV_V100GC1,0x2000,,,,,,16,1,,skipped: no Optolink-reachable datapoints,02a000
,HV_V100GC1_3,0x2000,,,,,,16,1,,skipped: no Optolink-reachable datapoints,03a000
,HV_V300KW3,0x2000,,,,,,165,1,,skipped: no Optolink-reachable datapoints,019c00
,MBus_ABB_01,0x0611,,,,,,21,1,,skipped: no Optolink-reachable datapoints,343230343038
,MBus_ABB_02,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,636434653038
,MBus_ABB_02_S01,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,636434653038_S01
,MBus_ABB_02_S02,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,636434653038_S02
,MBus_ABB_03,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,636434653039
,MBus_ALL_01,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,373730343039
,MBus_AmtronX50_01,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,623430356335
,MBus_Calec_01,0x0611,,,,,,25,1,,skipped: no Optolink-reachable datapoints,623430353830
,MBus_Calec_02,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,623430356330
,MBus_EE_01,0x0611,,,,,,13,1,,skipped: no Optolink-reachable datapoints,613831353030
,MBus_EE_02,0x0611,,,,,,13,1,,skipped: no Optolink-reachable datapoints,353233623030
,MBus_EngelmannSenso_01,0x0611,,,,,,22,1,,skipped: no Optolink-reachable datapoints,633531343332
,MBus_EngelmannSenso_01_S01,0x0611,,,,,,22,1,,skipped: no Optolink-reachable datapoints,633531343332_S01
,MBus_Kalorimeter_01,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,373730343062
,MBus_KampStrup_01,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,326432633032
,MBus_KampStrup_01_S01,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,326432633032_S01
,MBus_KampStrup_02,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,326432633031
,MBus_KampStrup_03,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,326432633037
,MBus_KampStrup_04,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,326432633035
,MBus_LUG_04,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,613733323032
,MBus_LUG_04_S01,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,613733323032_S01
,MBus_LUG_04_S02,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,613733323032_S02
,MBus_LUG_04_S03,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,613733323032_S03
,MBus_LUG_04_S04,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,613733323032_S04
,MBus_LUG_04_S05,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,613733323032_S05
,MBus_LUG_04_S06,0x0611,,,,,,19,1,,skipped: no Optolink-reachable datapoints,613733323032_S06
,MBus_LUG_04_S07,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,613733323032_S07
,MBus_LUG_04_S08,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,613733323032_S08
,MBus_LUG_04_S09,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,613733323032_S09
,MBus_Metrona_01,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,613733323033
,MBus_NZR_01,0x0611,,,,,,17,1,,skipped: no Optolink-reachable datapoints,353233623430
,MBus_NZR_01_S01,0x0611,,,,,,17,1,,skipped: no Optolink-reachable datapoints,353233623430_S01
,MBus_NZR_02,0x0611,,,,,,17,1,,skipped: no Optolink-reachable datapoints,353233623431
,MBus_NZR_02_S01,0x0611,,,,,,17,1,,skipped: no Optolink-reachable datapoints,353233623431_S01
,MBus_NZR_02_S02,0x0611,,,,,,17,1,,skipped: no Optolink-reachable datapoints,353233623431_S02
,MBus_Pollu_01,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,313834653334
,MBus_Pollu_01_S01,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,313834653334_S01
,MBus_Pollu_01_S02,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,313834653334_S02
,MBus_Pollu_02,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,313834653630
,MBus_Pollu_02_S01,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,313834653630_S01
,MBus_Pollu_03,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,616534633038
,MBus_Pollu_04,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,616534633062
,MBus_Pollu_04_S01,0x0611,,,,,,18,1,,skipped: no Optolink-reachable datapoints,616534633062_S01
,MBus_Schlumberger_01,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,383234643032
,MBus_Schlumberger_01_S01,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,383234643032_S01
,MBus_Schlumberger_01_S02,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,383234643032_S02
,MBus_Schlumberger_01_S03,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,383234643032_S03
,MBus_Schlumberger_02,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,373730343061
,MBus_Schlumberger_02_S01,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,373730343061_S01
,MBus_Siemens_01,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,323534643032
,MBus_Siemens_02,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,323534643032
,MBus_Siemens_03,0x0611,,,,,,21,1,,skipped: no Optolink-reachable datapoints,323534643031
,MBus_Siemens_03_S01,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,323534643031_S01
,MBus_Techem_01,0x0611,,,,,,22,1,,skipped: no Optolink-reachable datapoints,363835303236
,MBus_Techem_02,0x0611,,,,,,21,1,,skipped: no Optolink-reachable datapoints,643331303031
,MBus_Techem_02_S01,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,643331303031_S01
,MBus_Techem_03,0x0611,,,,,,21,1,,skipped: no Optolink-reachable datapoints,363835303239
,MBus_Techem_04,0x0611,,,,,,19,1,,skipped: no Optolink-reachable datapoints,363835303031
,MBus_Techem_04_S01,0x0611,,,,,,19,1,,skipped: no Optolink-reachable datapoints,363835303031_S01
,MBus_Techem_05,0x0611,,,,,,22,1,,skipped: no Optolink-reachable datapoints,323432333236
,MBus_Techem_06,0x0611,,,,,,20,1,,skipped: no Optolink-reachable datapoints,323432333031
,MBus_Viterra_01,0x0611,,,,,,22,1,,skipped: no Optolink-reachable datapoints,363534393661
,MBus_Viterra_01_S01,0x0611,,,,,,22,1,,skipped: no Optolink-reachable datapoints,363534393661_S01
,MBus_X01,0x0611,,,,,,14,1,,skipped: no Optolink-reachable datapoints,346436613831
,MBus|0,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|1,,,,,,,50,1,,skipped: no Optolink-reachable datapoints,
,MBus|10,,,,,,,21,1,,skipped: no Optolink-reachable datapoints,
,MBus|101,,,,,,,58,1,,skipped: no Optolink-reachable datapoints,
,MBus|102,,,,,,,71,1,,skipped: no Optolink-reachable datapoints,
,MBus|11,,,,,,,21,1,,skipped: no Optolink-reachable datapoints,
,MBus|12,,,,,,,21,1,,skipped: no Optolink-reachable datapoints,
,MBus|13,,,,,,,21,1,,skipped: no Optolink-reachable datapoints,
,MBus|14,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|15,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|16,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|17,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|18,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|19,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|2,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|20,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|21,,,,,,,17,1,,skipped: no Optolink-reachable datapoints,
,MBus|22,,,,,,,17,1,,skipped: no Optolink-reachable datapoints,
,MBus|23,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|24,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|25,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|26,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|27,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|28,,,,,,,19,1,,skipped: no Optolink-reachable datapoints,
,MBus|29,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|3,,,,,,,19,1,,skipped: no Optolink-reachable datapoints,
,MBus|30,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|31,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|32,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|33,,,,,,,19,1,,skipped: no Optolink-reachable datapoints,
,MBus|34,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|35,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|36,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|37,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|38,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|39,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|4,,,,,,,21,1,,skipped: no Optolink-reachable datapoints,
,MBus|40,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|41,,,,,,,15,1,,skipped: no Optolink-reachable datapoints,
,MBus|5,,,,,,,21,1,,skipped: no Optolink-reachable datapoints,
,MBus|6,,,,,,,23,1,,skipped: no Optolink-reachable datapoints,
,MBus|7,,,,,,,28,1,,skipped: no Optolink-reachable datapoints,
,MBus|8,,,,,,,23,1,,skipped: no Optolink-reachable datapoints,
,MBus|9,,,,,,,18,1,,skipped: no Optolink-reachable datapoints,
,OpenTherm_9_84,0x2621,1,9,9,132,132,81,1,,skipped: no Optolink-reachable datapoints,0109
,OpenTherm_DEFAULT,0x26FF,,,,,,68,1,,skipped: no Optolink-reachable datapoints,
,Solartrol_M,0x2000,,,,,,26,1,,skipped: no Optolink-reachable datapoints,0b6000
v050hk1m.yaml,V050HK1M,0x20B4,1,0,6,,,305,254,82068,ok,0100
v050hk1m_7.yaml,V050HK1M_7,0x20B4,1,7,7,,,198,183,61145,ok,0107
v050hk1m_8.yaml,V050HK1M_8,0x20B4,1,8,8,,,196,182,60901,ok,0108
v050hk1m_9.yaml,V050HK1M_9,0x20B4,1,9,15,,,200,186,62308,ok,0109
v050hk1s.yaml,V050HK1S,0x20AC,1,0,6,,,349,301,95067,ok,0100
v050hk1s_7.yaml,V050HK1S_7,0x20AC,1,7,7,,,266,238,76387,ok,0107
v050hk1s_8.yaml,V050HK1S_8,0x20AC,1,8,8,,,275,247,78751,ok,0108
v050hk1s_9.yaml,V050HK1S_9,0x20AC,1,9,15,,,278,250,79912,ok,0109
v050hk1w.yaml,V050HK1W,0x20AA,1,0,6,,,349,301,95067,ok,0100
v050hk1w_7.yaml,V050HK1W_7,0x20AA,1,7,7,,,267,239,77481,ok,0107
v050hk1w_8.yaml,V050HK1W_8,0x20AA,1,8,8,,,276,248,79845,ok,0108
v050hk1w_9.yaml,V050HK1W_9,0x20AA,1,9,15,,,279,251,81006,ok,0109
v050hk3s.yaml,V050HK3S,0x20AD,1,0,6,,,534,506,158077,ok,0100
v050hk3s_7.yaml,V050HK3S_7,0x20AD,1,7,7,,,411,405,126859,ok,0107
v050hk3s_8.yaml,V050HK3S_8,0x20AD,1,8,8,,,420,414,129223,ok,0108
v050hk3s_9.yaml,V050HK3S_9,0x20AD,1,9,15,,,431,425,133235,ok,0109
v050hk3w.yaml,V050HK3W,0x20AB,1,0,6,,,534,506,158126,ok,0100
v050hk3w_7.yaml,V050HK3W_7,0x20AB,1,7,7,,,411,405,126859,ok,0107
v050hk3w_8.yaml,V050HK3W_8,0x20AB,1,8,8,,,420,414,129223,ok,0108
v050hk3w_9.yaml,V050HK3W_9,0x20AB,1,9,15,,,431,425,133309,ok,0109
v100cc1x.yaml,V100CC1x,0x20A7,,,,,,564,491,167646,ok,
v100gc1.yaml,V100GC1,0x20A0,1,0,6,,,403,326,104235,ok,0100
v100gc1a.yaml,V100GC1A,0x20A1,,,,,,448,388,127424,ok,
v100gc1c.yaml,V100GC1C,0x20A2,,,,,,448,396,129991,ok,
v100gc1_7.yaml,V100GC1_7,0x20A0,1,7,7,,,329,278,91054,ok,0107
v100gc1_8.yaml,V100GC1_8,0x20A0,1,8,15,,,340,288,93626,ok,0108
v100kc2.yaml,V100KC2,0x2091,1,0,5,,,207,198,61634,ok,0100
v100kc2_6.yaml,V100KC2_6,0x2091,1,6,15,,,177,174,54211,ok,0106
v100kc4b.yaml,V100KC4B,0x209D,,,,,,463,417,148241,ok,
v150kb1.yaml,V150KB1,0x2092,1,0,3,,,243,245,73843,ok,0100
v150kb1_4.yaml,V150KB1_4,0x2092,1,4,4,,,220,227,68218,ok,0104
v150kb1_5.yaml,V150KB1_5,0x2092,1,5,5,,,218,225,67663,ok,0105
v150kb1_6.yaml,V150KB1_6,0x2092,1,6,15,,,240,245,73261,ok,0106
v200co1x.yaml,V200CO1x,0x20A9,,,,,,842,792,274152,ok,
v200gw1.yaml,V200GW1,0x20A4,1,0,6,,,512,445,137523,ok,0100
v200gw1_7.yaml,V200GW1_7,0x20A4,1,7,7,,,405,362,114369,ok,0107
v200gw1_8.yaml,V200GW1_8,0x20A4,1,8,8,,,417,373,117252,ok,0108
v200gw1_9.yaml,V200GW1_9,0x20A4,1,9,15,,,419,375,118174,ok,0109
v200hk3a.yaml,V200HK3A,0x20AE,,,,,,587,570,191031,ok,
v200ko2b.yaml,V200KO2B,0x209F,,,,,,619,585,199476,ok,
v200kw1.yaml,V200KW1,0x2094,1,0,3,,,328,321,96183,ok,0100
v200kw1_4.yaml,V200KW1_4,0x2094,1,4,4,,,298,298,88934,ok,0104
v200kw1_5.yaml,V200KW1_5,0x2094,1,5,5,,,298,298,88934,ok,0105
v200kw1_6.yaml,V200KW1_6,0x2094,1,6,15,,,319,318,94549,ok,0106
v200kw2.yaml,V200KW2,0x2098,1,0,3,,,415,420,125591,ok,0100
v200kw2_4.yaml,V200KW2_4,0x2098,1,4,4,,,370,381,113948,ok,0104
v200kw2_5.yaml,V200KW2_5,0x2098,1,5,5,,,370,381,114246,ok,0105
v200kw2_6.yaml,V200KW2_6,0x2098,1,6,15,,,398,408,121461,ok,0106
v200wo1a.yaml,V200WO1A,0x2048,,,,,,1311,1264,420208,ok,
v300cm1x.yaml,V300CM1x,0x20BF,,,,,,942,867,300253,ok,
v300gw2.yaml,V300GW2,0x20A5,1,0,6,,,702,653,201089,ok,0100
v300gw2a.yaml,V300GW2A,0x20A6,,,,,,638,612,206516,ok,
v300gw2_7.yaml,V300GW2_7,0x20A5,1,7,7,,,551,529,164764,ok,0107
v300gw2_8.yaml,V300GW2_8,0x20A5,1,8,8,,,562,539,167301,ok,0108
v300gw2_9.yaml,V300GW2_9,0x20A5,1,9,15,,,573,550,171162,ok,0109
v300gw6b.yaml,V300GW6B,0x20BE,,,,,,760,726,245582,ok,
v300kmw1a.yaml,V300KMW1A,0x20BB,,,,,,665,640,217343,ok,
v300kmw2a.yaml,V300KMW2A,0x20BC,,,,,,687,662,224913,ok,
v300kw3.yaml,V300KW3,0x209C,1,0,3,,,507,517,154159,ok,0100
v300kw3_4.yaml,V300KW3_4,0x209C,1,4,4,,,443,460,137371,ok,0104
v300kw3_5.yaml,V300KW3_5,0x209C,1,5,5,,,443,460,137374,ok,0105
v300kw3_6.yaml,V300KW3_6,0x209C,1,6,15,,,484,499,148257,ok,0106
v300mw3b.yaml,V300MW3B,0x20BD,,,,,,746,714,246098,ok,
v333mw1.yaml,V333MW1,0x20B8,1,0,6,,,685,637,199437,ok,0100
v333mw1s.yaml,V333MW1S,0x20B9,1,0,6,,,685,637,199439,ok,0100
v333mw1s_7.yaml,V333MW1S_7,0x20B9,1,7,7,,,545,520,164554,ok,0107
v333mw1s_8.yaml,V333MW1S_8,0x20B9,1,8,8,,,556,530,167159,ok,0108
v333mw1s_9.yaml,V333MW1S_9,0x20B9,1,9,15,,,571,542,171821,ok,0109
v333mw1_7.yaml,V333MW1_7,0x20B8,1,7,7,,,545,520,164552,ok,0107
v333mw1_8.yaml,V333MW1_8,0x20B8,1,8,8,,,556,530,167124,ok,0108
v333mw1_9.yaml,V333MW1_9,0x20B8,1,9,15,,,567,541,171162,ok,0109
v333mw2.yaml,V333MW2,0x20BA,,,,,,561,543,171586,ok,
v333mw2_2.yaml,V333MW2_2,0x20BA,1,2,15,,,557,539,170546,ok,0102
vbc550p.yaml,VBC550P,0x2033,,,,,,870,821,255729,ok,
vbc550s.yaml,VBC550S,0x2032,,,,,,770,725,228443,ok,
vbc700_aw.yaml,VBC700_AW,0x2047,,,,,,911,889,295414,ok,
vbc700_bw_ww.yaml,VBC700_BW_WW,0x2046,,,,,,914,891,295935,ok,
,VBC701,0x2043,,,,,,5,1,,skipped: no Optolink-reachable datapoints,
vbc702_aw.yaml,VBC702_AW,0x2049,,,,,,1310,1263,420064,ok,
vbc702_s.yaml,VBC702_S,0x204A,,,,,,1420,1371,456210,ok,
vblock-unbekannt.yaml,VBlock-Unbekannt,0x3000,,,,,,112,109,38919,ok,
vblockbm123-177.yaml,VBlockBM123-177,0x300D,,,,,,110,107,38337,ok,
